article_id,source_id,source_name,author,title,description,url,url_to_image,published_at,full_content,category
88825,rt,RT,RT,Netherlands fines companies for helping Russia build Crimean Bridge,Dutch prosecutors penalized four companies for helping build the Crimean Bridge Read Full Article at RT.com,https://www.rt.com/news/584855-dutch-companies-sanctions-crimea-bridge/,https://mf.b37mrtl.ru/files/2023.10/article/65299bb7203027337208328e.jpeg,2023-10-13 19:35:52.000000,"Four Dutch companies and eight citizens have been found guilty of violating EU sanctions against Russia by supplying machinery, parts, and professional services used to build Moscow’s bridge to Crime… [+1847 chars]",Technology
88265,,Vox,Brian Resnick,A rare “ring of fire” eclipse is happening Saturday,Here’s why the eclipse is happening — and how to watch.,https://www.vox.com/science/2023/10/13/23916179/solar-eclipse-2023-live-stream-start-time-us-oregon-california-texas-arizona,https://cdn.vox-cdn.com/thumbor/r1DvqJSpXaN1frbQp7FRnm0QLh4=/0x715:3000x2286/fit-in/1200x630/cdn.vox-cdn.com/uploads/chorus_asset/file/25000979/144946718.jpg,2023-10-13 20:45:25.000000,"On Saturday, October 14, the moon will pass directly between the Earth and the sun, casting its shadow across Earths surface. 
Those in the path of the shadow mainly in the Western United States, Me… [+7004 chars]",Technology
88642,bbc-news,BBC News,https://www.facebook.com/bbcnews,Poland election: Poles prepare to vote as rivals end acrimonious campaign,Poland elects a new parliament on Sunday with the right-wing ruling party seeking a third term.,https://www.bbc.co.uk/news/world-europe-67103038,https://ichef.bbci.co.uk/news/1024/branded_news/E6B5/production/_131416095_gettyimages-1719478961.jpg,2023-10-13 21:02:59.000000,"Poland elects a new parliament this weekend after a bitterly fought campaign that has seen each side paint the other аs a dire, national threat. The governing, right-wing Law and Justice party, or PiS, is battling to secure a record third term in office. It says the opposition would weaken Poland with mass migration and chaos. The centrist main opposition Civic Coalition wants to end eight years of PiS rule, arguing that the party is a threat to Polish democracy itself.  Both campaigns have been highly personalised with each party demonising the other's leader.  But with opinion polls suggesting neither of the main parties is on course for an outright majority, the final days and hours of campaigning have been intense. All over Poland, lamp-posts and railings are plastered with the images of election candidates.  They offer a choice from the far-right Confederation that wants to cut aid to Ukraine to a left-wing party that talks about LGBT rights and returning the right to abortion.  But this race has mostly focused on two men and two parties: PiS leader Jaroslaw Kaczynski and Civic Coalition head Donald Tusk.  On Friday, they made their final pitches to voters. In Starachowice, south of Warsaw, Jaroslaw Kaczynski repeated his mantra that a Poland governed by Donald Tusk would in fact be ruled ""by a phone call from Berlin or Moscow"".  He has consistently painted his rival as a puppet of both Russia and Germany: the logic doesn't matter as much as the suggestion that Mr Tusk is unpatriotic and a security threat. Mr Kaczynski pointed to his own party's massive boost in military spending, with both Russia and Ukraine on Poland's border. Stoking fear about migration is another PiS favourite, including with endless footage on state TV highlighting protests and riots in Europe. The party leader stressed that PiS would ""absolutely reject"" an EU relocation plan for illegal migrants.  But he also had a positive message for the final stretch of the campaign. ""We have offered Poles a better life,"" Mr Kaczynski told voters, mentioning higher wages and pensions. ""This election is about whether that will continue."" Donald Tusk contends that continuing with PiS would be a disaster.  While Poland has won plaudits for its role supporting Ukraine since the Russian invasion, there's real concern about its commitment to defending key elements of democracy at home.  The EU is withholding large amounts of funding over the politicisation of Poland's courts.  Civic Coalition highlights that issue, as well as increased control of the press and far more antagonism with Europe - trends that it worries will intensify if PiS are re-elected. Some fear the trajectory is so bad, it could undermine Poland's membership of the EU itself. On Friday, though, all Donald Tusk's talk was of winning. ""We are one step away from victory,"" he claimed in a final campaign speech, before urging supporters to monitor Sunday's election for fraud.  That includes abroad, where more than 600,000 Poles, a record number, have registered to vote. In the past, expats have favoured the opposition. Officials in the Netherlands have even urged people to head for Germany or Belgium instead, to avoid long queues.  The government has called a national referendum to be held in tandem with the election to parliament, posing questions that seem designed to get PiS supporters to the polls.  One asks whether ""thousands of illegal immigrants"" should be allowed into Poland, as ""imposed"" by the EU. This week, PiS also announced cash payments for groups including brass bands and housewives' clubs in small municipalities - where it tends to do best - if more than 60% of voters come out to vote.   It has already increased the number of polling stations in such areas, arguing that boosting participation is good for democracy. It is possible that neither PiS nor Civic Coalition will win enough to govern alone. If Law and Justice wins most votes, it might try to govern as a minority or it could seek a coalition with Confederation, assuming the far-right party wins enough seats.  Either way, the prospect of a party with a record of racism and homophobia holding the key to power is disturbing to some.  Should that combination prove impossible, the door to an opposition coalition might open.  ""A vote cast in these elections is not only an expression of our beliefs and values, it also determines the direction in which Poland should develop,"" the PiS-backed President Andrzej Duda urged voters on the last of campaigning.  ""Today we have different visions to choose from."" That's one thing on which opposition supporters agree.  ""We've had enough,"" an editorial in the Gazeta Wyborcza newspaper announced on Friday.  ""If the democrats lose now, we will face pure authoritarianism in Russian-Turkish-Hungarian colours… But another Poland is within reach.""",Politics
88796,fox-sports,Fox Sports,,Kylian Mbappé scores twice as France beats Netherlands to qualify for Euro 2024,Kylian Mbappé helped France seal qualification for next year's European Championship by scoring twice vs. the Netherlands.,https://www.foxsports.com/stories/soccer/kylian-mbappe-scores-twice-as-france-beats-netherlands-to-qualify-for-euro-2024,https://a57.foxsports.com/statics.foxsports.com/www.foxsports.com/content/uploads/2023/10/1408/814/KM2.jpg?ve=1&tl=1,2023-10-13 21:23:35.000000,"Kylian Mbappé helped France seal qualification for next year's European Championship by scoring twice in a 2-1 win over the Netherlands on Friday for a perfect sixth win in Group B.
There had been t… [+1475 chars]",Technology
88688,,Sky Sports,,"Euro 2024 round-up: Belgium, Portugal and Mbappe-inspired France reach finals","Kylian Mbappe scored twice, including a stunning strike from just outside the box, as France beat the Netherlands 2-0 in Amsterdam to secure Euro 2024 qualification.",https://www.skysports.com/football/news/11095/12984192/kylian-mbappe-scores-twice-as-france-beat-the-netherlands-to-seal-qualification-euro-2024-round-up,https://e0.365dm.com/23/10/1600x900/skysports-kylian-mbappe-france_6320836.jpg?20231013220736,2023-10-13 21:33:00.000000,"Kylian Mbappe scored twice, including a stunning strike from just outside the box, as France beat the Netherlands 2-0 in Amsterdam to secure Euro 2024 qualification.
Kylian Mbappe scored twice, incl… [+2155 chars]",Technology
88680,bbc-news,BBC News,,Netherlands 1-2 France: Kylian Mbappe scores twice as France qualify for Euro 2024,France forward Kylian Mbappe scores twice as his side hold off the Netherlands to qualify for this summer's European Championship.,https://www.bbc.co.uk/sport/football/67025506,https://ichef.bbci.co.uk/live-experience/cps/624/cpsprodpb/6BD3/production/_131430672_gettyimages-1723102666.jpg,2023-10-13 21:43:58.000000,"Mbappe has scored 10 goals in 10 appearances for club and country this season
France forward Kylian Mbappe scored twice as his side held off the Netherlands to qualify for this summer's European Cha… [+4156 chars]",Sports
88834,,Destructoid,Michael Murphy,The Van Gogh Museum stops distributing Pikachu promo card at Pokemon exhibition,"Well, this is just Trubbish. The Van Gogh Museum, which recently held a Pokemon collab that got a bit hectic, announced it will no longer distribute its Pikachu promo card at the physical exhibit starting October 14. If you want the Pikachu in Grey Felt Hat c…",https://www.destructoid.com/van-gogh-museum-stops-distributing-pikachu-promo-card-at-pokemon-exhibit/,https://www.destructoid.com/wp-content/uploads/2023/09/f0a809b3-6a77-406f-b398-350f74b9dea1.jpg,2023-10-13 22:20:54.000000,"Well, this is just Trubbish. The Van Gogh Museum, which recently held a Pokemon collab that got a bit hectic, announced it will no longer distribute its Pikachu promo card at the physical exhibit sta… [+1650 chars]",General
88844,,Biztoc.com,theregister.com,Canon launches litho machine capable of 5nm chip production,"When it comes to producing the most advanced chips, Dutch semiconductor manufacturing equipment maker ASML has had the market on lock. However, fresh lithography tech from Canon may soon challenge that position. On Friday, the Japanese multinational, best kno…",https://biztoc.com/x/acdde47a83a1d0b3,https://c.biztoc.com/p/acdde47a83a1d0b3/s.webp,2023-10-13 22:52:13.000000,"When it comes to producing the most advanced chips, Dutch semiconductor manufacturing equipment maker ASML has had the market on lock. However, fresh lithography tech from Canon may soon challenge th… [+269 chars]",Business
